"Transform the input image into an organic machine hybrid, keep the subject intact, add biomechanical textures, pulsating veins, metallic exoskin."
"Turn the input image into a galactic mega city, preserve composition, add flying vehicles, futuristic skyscrapers, glowing planetary horizon."
"Convert the input image into a high-tech sci-fi weapon design, keep silhouette intact, add glowing energy cores, sleek metallic textures, holographic details."
"Transform the input image into a mighty dragon form, keep the silhouette recognizable, add glowing scales, fiery breath, stormy sky background."
"Turn the input image into a medieval knight, preserve proportions, add shining armor, heraldic symbols, dramatic battlefield lighting."
"Convert the input image into a magical forest scene, keep the main composition, add glowing mushrooms, fairy lights, misty atmosphere."
"Transform the input image into a statue of a mythological god, keep the posture intact, add marble textures, glowing aura, monumental sacred look."
"Turn the input image into an ancient wizard illustration, preserve proportions, add glowing runes, long robe, mystical staff, swirling energy."
"Convert the input image into an elven cityscape, keep composition, add crystal towers, golden bridges, lush enchanted forest."
"Transform the input image into a legendary creature, keep the silhouette intact, add monstrous textures, glowing eyes, ancient mythological vibe."
"Turn the input image into an enchanted spellbook design, preserve the outline, add glowing inscriptions, floating sparks, aged leather texture."
"Convert the input image into an epic fantasy battle scene, keep central figure, add fiery sky, clashing armies, cinematic dramatic scale."
"Transform the input image into a mystical ancient temple, keep recognizable structure, add floating lights, overgrown vines, glowing celestial atmosphere."
